timestamp,task_name,gpu_use_card0,gpu_use_card1
2026-05-08T12:06:52,p7-02-impl-fast,39,0
2026-05-08T12:06:54,p7-02-impl-fast,2,0
2026-05-08T12:06:56,p7-02-impl-fast,2,0
2026-05-08T12:06:58,p7-02-impl-fast,2,0
2026-05-08T12:07:00,p7-02-impl-fast,2,0
2026-05-08T12:07:02,p7-02-impl-fast,100,0
2026-05-08T12:07:04,p7-02-impl-fast,87,0
2026-05-08T12:07:07,p7-02-impl-fast,90,0
2026-05-08T12:07:09,p7-02-impl-fast,89,0
2026-05-08T12:07:11,p7-02-impl-fast,87,0
2026-05-08T12:07:13,p7-02-impl-fast,87,0
2026-05-08T12:07:15,p7-02-impl-fast,89,0
2026-05-08T12:07:17,p7-02-impl-fast,88,0
2026-05-08T12:07:19,p7-02-impl-fast,53,0
2026-05-08T12:07:19,p7-02-impl-accurate,22,0
2026-05-08T12:07:21,p7-02-impl-accurate,3,0
2026-05-08T12:07:23,p7-02-impl-accurate,2,0
2026-05-08T12:07:26,p7-02-impl-accurate,3,0
2026-05-08T12:07:28,p7-02-impl-accurate,2,0
2026-05-08T12:07:30,p7-02-impl-accurate,2,0
2026-05-08T12:07:32,p7-02-impl-accurate,90,0
2026-05-08T12:07:34,p7-02-impl-accurate,89,0
2026-05-08T12:07:36,p7-02-impl-accurate,89,0
2026-05-08T12:07:38,p7-02-impl-accurate,89,0
2026-05-08T12:07:40,p7-02-impl-accurate,87,0
2026-05-08T12:07:42,p7-02-impl-accurate,89,0
2026-05-08T12:07:44,p7-02-impl-accurate,88,0
2026-05-08T12:07:46,p7-02-impl-accurate,88,0
2026-05-08T12:07:48,p7-02-impl-accurate,2,0
2026-05-08T12:07:49,p7-03-red,1,0
2026-05-08T12:07:51,p7-03-red,87,0
2026-05-08T12:07:53,p7-03-red,88,0
2026-05-08T12:07:55,p7-03-red,85,0
2026-05-08T12:07:57,p7-03-red,90,0
2026-05-08T12:07:59,p7-03-red,90,0
2026-05-08T12:08:01,p7-03-red,89,0
2026-05-08T12:08:03,p7-03-red,89,0
2026-05-08T12:08:05,p7-03-red,90,0
2026-05-08T12:08:07,p7-03-red,3,0
2026-05-08T12:08:07,p7-03-impl,3,0
2026-05-08T12:08:09,p7-03-impl,2,0
2026-05-08T12:08:10,p7-04-red,2,0
