timestamp,gpu_use_card0,gpu_use_card1
2026-05-08T11:07:15+02:00,17,0
2026-05-08T11:07:17+02:00,5,0
2026-05-08T11:07:19+02:00,6,0
2026-05-08T11:07:21+02:00,6,0
2026-05-08T11:07:23+02:00,5,0
2026-05-08T11:07:25+02:00,4,0
2026-05-08T11:07:28+02:00,89,0
2026-05-08T11:07:30+02:00,88,0
2026-05-08T11:07:32+02:00,86,0
2026-05-08T11:07:34+02:00,89,0
2026-05-08T11:07:36+02:00,87,0
2026-05-08T11:07:38+02:00,90,0
2026-05-08T11:07:40+02:00,89,0
2026-05-08T11:07:42+02:00,63,0
2026-05-08T11:07:44+02:00,85,0
2026-05-08T11:07:46+02:00,90,0
