timestamp,gpu_use_card0,gpu_use_card1
2026-05-08T13:46:02+02:00,7,0
2026-05-08T13:46:04+02:00,6,0
2026-05-08T13:46:07+02:00,6,0
2026-05-08T13:46:09+02:00,5,0
2026-05-08T13:46:11+02:00,3,0
2026-05-08T13:46:13+02:00,7,0
2026-05-08T13:46:15+02:00,6,0
2026-05-08T13:46:17+02:00,3,0
2026-05-08T13:46:19+02:00,2,0
2026-05-08T13:46:21+02:00,3,0
2026-05-08T13:46:23+02:00,93,0
2026-05-08T13:46:26+02:00,94,0
2026-05-08T13:46:28+02:00,93,0
2026-05-08T13:46:30+02:00,94,0
2026-05-08T13:46:32+02:00,94,0
2026-05-08T13:46:34+02:00,93,0
2026-05-08T13:46:36+02:00,94,0
2026-05-08T13:46:38+02:00,94,0
2026-05-08T13:46:40+02:00,92,0
2026-05-08T13:46:42+02:00,94,0
2026-05-08T13:46:44+02:00,94,0
2026-05-08T13:46:47+02:00,94,0
2026-05-08T13:46:49+02:00,95,0
2026-05-08T13:46:51+02:00,95,0
2026-05-08T13:46:53+02:00,94,0
2026-05-08T13:46:55+02:00,95,0
2026-05-08T13:46:57+02:00,95,0
2026-05-08T13:46:59+02:00,94,0
2026-05-08T13:47:01+02:00,94,0
