timestamp,gpu_use_card0,gpu_use_card1
2026-05-08T15:10:27+02:00,44,0
2026-05-08T15:10:29+02:00,7,0
2026-05-08T15:10:31+02:00,8,0
2026-05-08T15:10:33+02:00,7,0
2026-05-08T15:10:35+02:00,9,0
2026-05-08T15:10:37+02:00,7,0
2026-05-08T15:10:39+02:00,7,0
2026-05-08T15:10:42+02:00,8,0
2026-05-08T15:10:44+02:00,13,0
2026-05-08T15:10:46+02:00,9,0
2026-05-08T15:10:48+02:00,93,0
2026-05-08T15:10:50+02:00,93,0
2026-05-08T15:10:52+02:00,93,0
2026-05-08T15:10:54+02:00,95,0
2026-05-08T15:10:56+02:00,93,0
2026-05-08T15:10:58+02:00,92,0
2026-05-08T15:11:01+02:00,93,0
2026-05-08T15:11:03+02:00,93,0
2026-05-08T15:11:05+02:00,93,0
