timestamp,gpu_use_card0,gpu_use_card1
2026-05-08T11:09:17+02:00,16,0
2026-05-08T11:09:20+02:00,3,0
2026-05-08T11:09:22+02:00,4,0
2026-05-08T11:09:24+02:00,6,0
2026-05-08T11:09:26+02:00,6,0
2026-05-08T11:09:28+02:00,7,0
2026-05-08T11:09:30+02:00,6,0
2026-05-08T11:09:32+02:00,9,0
2026-05-08T11:09:34+02:00,90,0
2026-05-08T11:09:36+02:00,93,0
2026-05-08T11:09:39+02:00,95,0
2026-05-08T11:09:41+02:00,93,0
2026-05-08T11:09:43+02:00,94,0
2026-05-08T11:09:45+02:00,93,0
2026-05-08T11:09:47+02:00,95,0
2026-05-08T11:09:49+02:00,94,0
2026-05-08T11:09:51+02:00,95,0
2026-05-08T11:09:53+02:00,94,0
2026-05-08T11:09:55+02:00,94,0
2026-05-08T11:09:57+02:00,95,0
2026-05-08T11:10:00+02:00,94,0
2026-05-08T11:10:02+02:00,95,0
2026-05-08T11:10:04+02:00,96,0
2026-05-08T11:10:06+02:00,94,0
2026-05-08T11:10:08+02:00,96,0
2026-05-08T11:10:10+02:00,94,0
